time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.951119,-6.1332,1.2866,1.1704,6.375
2.959069,-6.0459,0.6419,0.8859,6.144
2.967259,-5.8895,0.0437,0.6383,5.924
2.975133,-5.5211,-0.5435,0.4762,5.568
2.982710,-4.9637,-1.0430,0.4962,5.096
2.990920,-4.3132,-1.4213,0.6838,4.592
3.002059,-3.6862,-1.7746,0.6740,4.146
3.007808,-3.0522,-2.1784,0.5346,3.788
3.019044,-2.6018,-2.5883,0.1540,3.673
3.024343,-2.2337,-2.9673,-0.3509,3.731
3.032194,-2.0830,-3.2009,-0.7310,3.888
3.040955,-1.9819,-3.4208,-1.1989,4.131
3.048657,-1.9741,-3.4735,-1.6655,4.329
3.057570,-1.9659,-3.4109,-2.1163,4.470
3.066653,-2.1905,-3.2380,-2.1783,4.475
3.075252,-2.2621,-3.0376,-1.9629,4.266
3.079511,-1.9442,-2.8275,-1.7978,3.874
3.087293,-1.4150,-2.6943,-1.5485,3.415
3.095518,-0.9101,-2.2870,-1.1908,2.734
3.102946,-0.3688,-2.0710,-1.0089,2.333
3.115374,-0.0023,-1.9561,-0.7937,2.111
3.120498,0.1973,-2.0181,-0.3644,2.060
3.126953,0.3015,-2.1755,0.0657,2.197
3.134799,0.4190,-2.3037,0.1953,2.350
3.142828,0.3498,-2.4068,0.2184,2.442
3.150903,0.1043,-2.6028,0.0620,2.606
3.159485,-0.7877,-2.9348,-0.2765,3.051
3.166990,-1.6741,-3.2477,-0.5926,3.702
3.175365,-2.3681,-3.3318,-0.8220,4.169
3.183093,-2.6378,-3.3324,-0.9787,4.361
3.191065,-2.5180,-3.0192,-0.7632,4.005
3.203049,-2.2745,-2.6057,-0.3070,3.472
3.207828,-2.0584,-2.0495,0.3651,2.928
3.216723,-1.6545,-1.5137,0.9974,2.454
3.227868,-1.0011,-0.9839,1.5411,2.085
3.233485,-0.2146,-0.5621,1.8754,1.970
3.241662,0.4328,0.0492,1.9357,1.984
3.249076,0.9063,0.7524,1.6871,2.058
3.257955,1.4187,1.3781,1.0973,2.262
3.266840,2.0653,1.8752,0.5016,2.834
3.271192,3.0980,2.2963,0.2751,3.866
3.282726,3.9399,2.8877,0.3849,4.900
3.287009,4.7501,3.6381,0.5427,6.008
3.295372,5.1577,4.3732,0.7848,6.808
3.303284,5.5791,4.8071,1.4371,7.503
3.315412,6.2026,4.6253,2.9392,8.277
3.321125,6.3481,3.8763,4.3900,8.637
3.327088,5.6283,2.9694,5.2767,8.267
3.335035,4.4542,1.2705,5.0362,6.842
3.343022,3.2847,-0.7787,3.9804,5.219
3.350970,2.3319,-2.1978,2.9215,4.336
3.359354,0.9724,-3.3783,1.9138,4.003
3.366989,-0.7040,-3.4174,1.1745,3.682
3.375421,-2.0559,-2.1953,0.5301,3.054
3.383081,-2.2052,-0.4157,-0.3868,2.277
3.394355,-2.0739,1.4624,-1.8650,3.149
3.405223,-2.5099,3.1617,-2.9585,5.005
3.410735,-4.1609,4.0502,-3.2707,6.664
3.415699,-5.2335,4.7021,-2.4507,7.450
3.423941,-5.8312,6.8013,0.3175,8.964
3.431445,-6.3604,9.7282,3.1454,12.041
3.439801,-4.8888,10.6244,2.3976,11.938
3.447760,-0.6217,7.0626,-1.5341,7.254
3.455869,1.4801,3.7117,-5.3311,6.662
3.464274,1.8429,0.1216,-6.8395,7.084
3.470821,1.9518,-3.8455,-9.2719,10.226
3.479153,1.2374,-6.1158,-9.2863,11.188
3.487233,-1.1373,-5.6601,-4.3291,7.216
3.495029,-2.5892,-4.8135,-0.6540,5.505
3.503023,-3.4468,-4.1249,0.5541,5.404
3.511031,-3.9579,-3.5098,0.7330,5.340
3.519292,-4.3250,-2.5730,0.1542,5.035
3.527132,-4.7451,-1.3313,-0.4857,4.952
3.534985,-5.2567,-0.0573,-0.9993,5.351
3.543222,-5.8694,1.0895,-1.1679,6.083
3.551520,-6.6541,1.9272,-1.2003,7.031
3.559201,-7.4867,2.6785,-0.9425,8.007
3.567146,-8.0954,3.2425,-0.2701,8.725
3.574986,-6.6494,2.9492,0.1918,7.277
3.583516,-4.6784,1.9515,0.0861,5.070
3.594075,-3.6615,0.9797,-0.4378,3.816
3.599869,-3.0902,0.1605,-1.2199,3.326
3.609572,-2.4170,-0.7532,-2.0939,3.285
