time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.402529,-0.0115,0.0007,0.0808,0.082
1.409569,-0.0042,0.0007,0.0784,0.078
1.417068,-0.0114,-0.0017,0.0736,0.074
1.425022,0.0031,-0.0113,0.0856,0.086
1.433810,0.0079,-0.0065,0.0712,0.072
1.441790,0.0032,0.0007,0.0616,0.062
1.451259,0.0151,-0.0041,0.0856,0.087
1.459596,-0.0041,-0.0113,0.0520,0.053
1.467711,0.0031,-0.0209,0.0736,0.077
1.475803,0.0104,-0.0139,0.0712,0.073
1.483811,0.0031,-0.0018,0.0640,0.064
1.489067,-0.0066,-0.0066,0.0736,0.074
1.497279,-0.0017,-0.0090,0.0808,0.081
1.505286,0.0054,-0.0257,0.0856,0.090
1.513370,-0.0042,-0.0018,0.0712,0.071
1.521351,0.0031,-0.0090,0.0784,0.079
1.528853,0.0008,-0.0042,0.0808,0.081
1.537486,0.0079,-0.0139,0.0880,0.089
1.545342,0.0103,-0.0139,0.0568,0.059
1.553134,0.0152,-0.0139,0.0736,0.076
1.561365,0.0103,-0.0068,0.0951,0.096
1.569247,0.0151,-0.0092,0.0664,0.069
1.577483,0.0176,-0.0093,0.0712,0.074
1.585071,0.0151,0.0123,0.0736,0.076
1.592788,0.0079,-0.0069,0.0616,0.063
1.603342,0.0103,0.0002,0.0784,0.079
1.609490,0.0031,-0.0165,0.0568,0.059
1.616902,-0.0137,-0.0093,0.0544,0.057
1.625800,-0.0017,-0.0140,0.0832,0.084
1.634748,0.0246,-0.0140,0.0760,0.081
1.642294,0.0247,-0.0044,0.0592,0.064
1.649992,-0.0017,-0.0091,0.0688,0.069
1.658085,0.0151,-0.0044,0.0640,0.066
1.666972,0.0079,-0.0092,0.0664,0.068
1.675678,0.0055,0.0075,0.0712,0.072
1.683975,0.0104,-0.0260,0.0544,0.061
1.691933,0.0032,-0.0235,0.0520,0.057
1.703779,0.0176,-0.0186,0.0664,0.071
